id,coord,name,admin_region_id,admin_region_name,admin_region_zip_code,admin_region_insee
stop_area:SNCF:87545467,"{'lat': '48.586196', 'lon': '2.240986'}",Arpajon,admin:fr:91021,Arpajon,91290,91021
stop_area:SNCF:87415042,"{'lat': '49.880478', 'lon': '1.134456'}",Arques-la-Bataille,admin:fr:76026,Arques-la-Bataille,76880,76026
stop_area:SNCF:87192153,"{'lat': '48.970807', 'lon': '6.532016'}",Arraincourt Rue Principale,admin:fr:57027,Arraincourt,57380,57027
stop_area:SNCF:87342014,"{'lat': '50.286811', 'lon': '2.781089'}",Arras,admin:fr:62041,Arras,62000,62041
stop_area:SNCF:87677971,"{'lat': '42.905755', 'lon': '0.356879'}",Arreau,admin:fr:65031,Arreau,65240,65031
stop_area:SNCF:87407502,"{'lat': '45.396438', 'lon': '3.326379'}",Arrest Usine Melius,admin:fr:43185,Sainte-Florine,43250,43185
stop_area:SNCF:87394486,"{'lat': '48.099883', 'lon': '1.128151'}",Arrou,admin:fr:28012,Commune nouvelle d'Arrou,28220;28290,28012
stop_area:SNCF:87643957,"{'lat': '48.098011', 'lon': '1.122978'}",Arrou Place de l'église,admin:fr:28012,Commune nouvelle d'Arrou,28220;28290,28012
stop_area:SNCF:87192401,"{'lat': '49.074475', 'lon': '6.077646'}",Ars-sur-Moselle,admin:fr:57032,Ars-sur-Moselle,57130,57032
stop_area:SNCF:87215707,"{'lat': '48.268071', 'lon': '4.64892'}",Arsonval,admin:fr:10012,Arsonval,10200,10012
stop_area:SNCF:87543058,"{'lat': '48.081057', 'lon': '1.883226'}",Artenay,admin:fr:45008,Artenay,45410,45008
stop_area:SNCF:87678078,"{'lat': '42.933451', 'lon': '0.205677'}",Artigues,admin:fr:65123,Campan,65710,65123
stop_area:SNCF:87672212,"{'lat': '43.392629', 'lon': '-0.56876'}",Artix,admin:fr:64061,Artix,64170,64061
stop_area:SNCF:87734251,"{'lat': '45.365459', 'lon': '3.310554'}",Arvant,admin:fr:43038,Bournoncle-Saint-Pierre,43360,43038
stop_area:SNCF:87702126,"{'lat': '47.545435', 'lon': '-2.889465'}",Arzon le Crouesty,admin:fr:56005,Arzon,56640,56005
stop_area:SNCF:87463620,"{'lat': '48.718107', 'lon': '7.164384'}",Arzviller Ecole,admin:fr:57033,Arzviller,57405,57033
stop_area:SNCF:87286864,"{'lat': '50.621801', 'lon': '3.159881'}",Ascq,admin:fr:59009,Villeneuve-d'Ascq,59491;59650,59009
stop_area:SNCF:87381137,"{'lat': '48.905803', 'lon': '2.283295'}",Asnières-sur-Seine,admin:fr:92004,Asnières-sur-Seine,92600,92004
stop_area:SNCF:87641928,"{'lat': '47.761027', 'lon': '7.153024'}",Aspach-le-Bas Rest. Malakoff,admin:fr:68011,Aspach-le-Bas,68700,68011
stop_area:SNCF:87641910,"{'lat': '47.768902', 'lon': '7.141682'}",Aspach-le-Haut Chemin de la Gare,admin:fr:68012,Aspach-Michelbach,,68012
stop_area:SNCF:87641902,"{'lat': '47.776125', 'lon': '7.134115'}",Aspach-le-Haut Croisement D103-D34,admin:fr:68012,Aspach-Michelbach,,68012
stop_area:SNCF:87763250,"{'lat': '44.519423', 'lon': '5.754559'}",Aspres-sur-Buëch,admin:fr:5010,Aspres-sur-Buëch,05140,5010
stop_area:SNCF:87672162,"{'lat': '43.254399', 'lon': '-0.295018'}",Assat,admin:fr:64067,Assat,64510,64067
stop_area:SNCF:87613075,"{'lat': '44.67468', 'lon': '1.869757'}",Assier,admin:fr:46009,Assier,46320,46009
stop_area:SNCF:87586321,"{'lat': '44.066944', 'lon': '0.651155'}",Astaffort,admin:fr:47015,Astaffort,47220,47015
stop_area:SNCF:87545251,"{'lat': '48.712851', 'lon': '2.40312'}",Athis-Mons,admin:fr:91027,Athis-Mons,91200,91027
stop_area:SNCF:87414615,"{'lat': '48.809936', 'lon': '2.190101'}",Atrium,admin:fr:92022,Chaville,92370,92022
stop_area:SNCF:87751750,"{'lat': '43.296073', 'lon': '5.566322'}",Aubagne,admin:fr:13005,Aubagne,13400,13005
stop_area:SNCF:87594465,"{'lat': '45.181678', 'lon': '1.641235'}",Aubazines - Saint-Hilaire,admin:fr:19211,Saint-Hilaire-Peyroux,19560,19211
stop_area:SNCF:87391672,"{'lat': '48.739462', 'lon': '0.545588'}",Aube Centre RN26,admin:fr:61008,Aube,61270,61008
stop_area:SNCF:87192104,"{'lat': '48.995574', 'lon': '6.42892'}",Aubecourt Rue Principale,admin:fr:57572,Rémilly,57580,57572
stop_area:SNCF:87535096,"{'lat': '44.61095', 'lon': '4.407164'}",Aubenas Gare Routière,admin:fr:7019,Aubenas,07200,7019
stop_area:SNCF:87337089,"{'lat': '44.618129', 'lon': '4.38922'}",Aubenas Place de la Paix,admin:fr:7019,Aubenas,07200,7019
stop_area:SNCF:87758599,"{'lat': '48.871956', 'lon': '2.330432'}",Auber,admin:fr:75056,Paris,75000;75116,75056
stop_area:SNCF:87386730,"{'lat': '48.971923', 'lon': '1.848479'}",Aubergenville - Élisabethville,admin:fr:78029,Aubergenville,78410,78029
stop_area:SNCF:87734111,"{'lat': '45.983827', 'lon': '3.160514'}",Aubiat,admin:fr:63013,Aubiat,63260,63013
stop_area:SNCF:87491233,"{'lat': '45.015139', 'lon': '-0.419895'}",Aubie - Saint-Antoine,admin:fr:33018,Val de Virvée,,33018
stop_area:SNCF:87611764,"{'lat': '43.650192', 'lon': '0.789173'}",Aubiet,admin:fr:32012,Aubiet,32270,32012
stop_area:SNCF:87396572,"{'lat': '47.687097', 'lon': '0.265678'}",Aubigné-Racan,admin:fr:72013,Aubigné-Racan,72800,72013
stop_area:SNCF:87345447,"{'lat': '50.268575', 'lon': '3.15872'}",Aubigny-au-Bac,admin:fr:59026,Aubigny-au-Bac,59265,59026
stop_area:SNCF:87342246,"{'lat': '50.3529', 'lon': '2.592459'}",Aubigny-en-Artois,admin:fr:62045,Aubigny-en-Artois,62690,62045
stop_area:SNCF:87314518,"{'lat': '47.487747', 'lon': '2.43731'}",Aubigny-sur-Nère,admin:fr:18015,Aubigny-sur-Nère,18700,18015
stop_area:SNCF:87613224,"{'lat': '44.527276', 'lon': '2.239313'}",Aubin,admin:fr:12013,Aubin,12110,12013
stop_area:SNCF:87609602,"{'lat': '44.528218', 'lon': '2.243636'}",Aubin Place Monteils,admin:fr:12013,Aubin,12110,12013
stop_area:SNCF:87316604,"{'lat': '50.394778', 'lon': '1.969989'}",Aubin-Saint-Vaast,admin:fr:62046,Aubin-Saint-Vaast,62140,62046
stop_area:SNCF:87191684,"{'lat': '49.216036', 'lon': '5.971139'}",Auboué,admin:fr:54028,Auboué,54580,54028
stop_area:SNCF:87172122,"{'lat': '50.104041', 'lon': '4.761433'}",Aubrives,admin:fr:8028,Aubrives,08320,8028
stop_area:SNCF:87597823,"{'lat': '45.959669', 'lon': '2.161723'}",Aubusson,admin:fr:23008,Aubusson,23200,23008
stop_area:SNCF:87611749,"{'lat': '43.647488', 'lon': '0.596661'}",Auch,admin:fr:32013,Auch,32000,32013
stop_area:SNCF:87668459,"{'lat': '43.648288', 'lon': '0.582806'}",Auch Baylac,admin:fr:32013,Auch,32000,32013
stop_area:SNCF:87668467,"{'lat': '43.629515', 'lon': '0.579844'}",Auch Hôpital,admin:fr:32013,Auch,32000,32013
stop_area:SNCF:87134387,"{'lat': '43.657504', 'lon': '0.5974699999999999'}",Auch Le Seilhan,admin:fr:32013,Auch,32000,32013
stop_area:SNCF:87168195,"{'lat': '43.687457', 'lon': '0.60339'}",Auch Z.A. Lamothe,admin:fr:32013,Auch,32000,32013
stop_area:SNCF:87317230,"{'lat': '50.396348', 'lon': '2.102356'}",Auchy-lès-Hesdin,admin:fr:62050,Auchy-lès-Hesdin,62770,62050
stop_area:SNCF:87444059,"{'lat': '49.216132', 'lon': '-0.596014'}",Audrieu,admin:fr:14026,Audrieu,14250,14026
stop_area:SNCF:87281428,"{'lat': '50.875687', 'lon': '2.076357'}",Audruicq,admin:fr:62057,Audruicq,62370,62057
stop_area:SNCF:87194357,"{'lat': '49.36682', 'lon': '5.89139'}",Audun-le-Roman,admin:fr:54029,Audun-le-Roman,54560,54029
stop_area:SNCF:87406009,"{'lat': '49.3701', 'lon': '5.8959'}",Audun-le-Roman Hôtel de Ville,admin:fr:54029,Audun-le-Roman,54560,54029
stop_area:SNCF:87686378,"{'lat': '49.368984', 'lon': '5.901058'}",Audun-le-Roman Jean Jaurès,admin:fr:54029,Audun-le-Roman,54560,54029
stop_area:SNCF:87415158,"{'lat': '49.716091', 'lon': '1.098424'}",Auffay,admin:fr:76034,Val-de-Scie,76720;76850,76034
stop_area:SNCF:87562421,"{'lat': '45.791865', 'lon': '3.161442'}",Aulnat Aéroport,admin:fr:63019,Aulnat,63510,63019
stop_area:SNCF:87271411,"{'lat': '48.931869', 'lon': '2.494379'}",Aulnay-sous-Bois,admin:fr:93005,Aulnay-sous-Bois,93600,93005
stop_area:SNCF:87295600,"{'lat': '50.19749', 'lon': '3.84337'}",Aulnoye-Aymeries,admin:fr:59033,Aulnoye-Aymeries,59620,59033
stop_area:SNCF:87232157,"{'lat': '42.79', 'lon': '1.336389'}",Aulus-les-Bains,admin:fr:9029,Aulus-les-Bains,09140,9029
stop_area:SNCF:87313767,"{'lat': '49.765115', 'lon': '1.756069'}",Aumale,admin:fr:76035,Aumale,76390,76035
stop_area:SNCF:87783266,"{'lat': '44.718235', 'lon': '3.283582'}",Aumont-Aubrac,admin:fr:48009,Peyre-en-Aubrac,48130,48009
stop_area:SNCF:87545657,"{'lat': '48.446017', 'lon': '1.779882'}",Auneau,admin:fr:28317,Roinville,28700,28317
stop_area:SNCF:87643965,"{'lat': '48.459433', 'lon': '1.772618'}",Auneau Piscine,admin:fr:28015,Auneau-Bleury-Saint-Symphorien,,28015
stop_area:SNCF:87643973,"{'lat': '48.460294', 'lon': '1.769722'}",Auneau Texier Gallas,admin:fr:28015,Auneau-Bleury-Saint-Symphorien,,28015
stop_area:SNCF:87688929,"{'lat': '48.459515', 'lon': '1.772664'}",Auneau-Résistance,admin:fr:28015,Auneau-Bleury-Saint-Symphorien,,28015
stop_area:SNCF:87476200,"{'lat': '47.680085', 'lon': '-2.999363'}",Auray,admin:fr:56007,Auray,56400,56007
stop_area:SNCF:87726760,"{'lat': '45.37118', 'lon': '4.198432'}",Aurec,admin:fr:43012,Aurec-sur-Loire,43110,43012
stop_area:SNCF:87645002,"{'lat': '44.921041', 'lon': '2.435583'}",Aurillac,admin:fr:15014,Aurillac,15000,15014
